,Unnamed: 0,Investigation.Type,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Schedule,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Year,Make and Model,Total_passengers,Fatality_Pecentage,Serious_Inj_Percentage,Minor/NonInj_Percentage
58165,64071,Incident,2008-02-13,"Helsinki, Finland",Finland,Non-Fatal,Minor,Airplane,Boeing,737500,No,,,SCHD,0.0,0.0,0.0,39.0,UNK,,,2008,Boeing-737500,39.0,0.0,0.0,100.0
58166,64072,Incident,2008-02-13,"Hilo, HI",United States,Non-Fatal,,Airplane,Bombardier,Cl600,No,2.0,Turbo Fan,SCHD,0.0,0.0,0.0,43.0,VMC,,"The captain and first officer inadvertently falling asleep during the cruise phase of flight. Contributing to the incident were the captain's undiagnosed obstructive sleep apnea and the flight crew’s recent work schedules, which included several consecutive days of early-morning start times.",2008,Bombardier-Cl600,43.0,0.0,0.0,100.0
58198,64112,Accident,2008-02-23,"Valdosta, GA",United States,Non-Fatal,,Airplane,Boeing,737700,No,2.0,Turbo Fan,SCHD,0.0,0.0,1.0,102.0,IMC,,"An unexpected encounter with turbulence, while on approach for landing.",2008,Boeing-737700,103.0,0.0,0.0,100.0
58199,64113,Incident,2008-02-24,"Las Vegas, NV",United States,Non-Fatal,,Airplane,Boeing,737300,No,2.0,Turbo Fan,SCHD,0.0,6.0,0.0,136.0,VMC,,An inadvertent encounter with severe turbulence during descent and the failure of two passenger seat belt attach fittings.  Contributing to the incident was the failure of the operator to comply with the SAIB.,2008,Boeing-737300,142.0,0.0,4.225352112676056,95.77464788732394
58201,64116,Incident,2008-02-25,"Mexico City, Mexico",Mexico,Non-Fatal,Minor,Airplane,Boeing,7772Q8,No,2.0,Turbo Fan,SCHD,0.0,0.0,0.0,403.0,VMC,,,2008,Boeing-7772Q8,403.0,0.0,0.0,100.0
58216,64134,Incident,2008-03-01,"Dallas, TX",United States,Non-Fatal,Minor,Airplane,Boeing,7373H4,No,2.0,Turbo Fan,SCHD,0.0,0.0,0.0,244.0,IMC,,The failure of the taxiing flight crew to maintain an adequate clearance from the stationary airplane.,2008,Boeing-7373H4,244.0,0.0,0.0,100.0
58231,64150,Incident,2008-03-03,"Cusco, Peru",Peru,Non-Fatal,,Airplane,Boeing,737217,No,,,SCHD,0.0,0.0,0.0,54.0,UNK,,,2008,Boeing-737217,54.0,0.0,0.0,100.0
58304,64230,Incident,2008-03-22,"Richmond, VA",United States,Non-Fatal,Minor,Airplane,Boeing,757200,No,,,SCHD,0.0,0.0,0.0,180.0,VMC,,"The installed wing panel clips failed due to fatigue, likely caused by the incorrect installation of the fasteners in response to SB 757-57-0027.  Contributing to the incorrect installation was the SB's lack of clarity in the instructions and figures on the correct orientation of the clips and spacers.",2008,Boeing-757200,180.0,0.0,0.0,100.0
58320,64247,Incident,2008-03-27,"Houston, TX",United States,Non-Fatal,Minor,Airplane,Boeing,737524,No,2.0,Turbo Fan,SCHD,0.0,0.0,0.0,118.0,VMC,,The flight crew's improper landing technique for an inoperative anti-skid system resulting in locked brakes and four blown main landing gear tires.,2008,Boeing-737524,118.0,0.0,0.0,100.0
58363,64303,Accident,2008-04-07,"Miami, FL",United States,Non-Fatal,,Airplane,Boeing,737823,No,2.0,Turbo Fan,SCHD,0.0,1.0,1.0,146.0,IMC,,"An unexpected encounter with turbulence, during the initial descent for landing.",2008,Boeing-737823,148.0,0.0,0.6756756756756757,99.32432432432432
58365,64305,Accident,2008-04-08,"Colorado Spring, CO",United States,Non-Fatal,Substantial,Airplane,Bombardier,Cl6002B16,No,2.0,Turbo Fan,,0.0,0.0,0.0,5.0,VMC,,the impact with a bird during initial takeoff climb.,2008,Bombardier-Cl6002B16,5.0,0.0,0.0,100.0
58395,64341,Accident,2008-04-14,"Youngstown, OH",United States,Non-Fatal,Substantial,Airplane,Boeing,E75N1,No,1.0,Reciprocating,,0.0,1.0,1.0,0.0,VMC,,"The pilot's failure to maintain adequate airspeed, resulting in an aerodynamic stall.",2008,Boeing-E75N1,2.0,0.0,50.0,50.0
58433,64387,Incident,2008-04-20,"Newark, NJ",United States,Non-Fatal,Minor,Airplane,Boeing,747,No,4.0,,SCHD,0.0,0.0,0.0,5.0,UNK,,"An engine fire in the No. 3 engine due to the failure of, and subsequent flammable fluid leak from, one of three fuel or hydraulic lines located in the engine's accessory raceway that ignited when the fluid came in contact with the hot engine cases.  Contributing to the incident were the lack of adequate inspection and test requirements and appropriate life limit or inspection interval requirements by the manufacturer.",2008,Boeing-747,5.0,0.0,0.0,100.0
58446,64402,Incident,2008-04-24,"Minneapolis, MN",United States,Non-Fatal,,Airplane,Bombardier,Cl6002D24,No,2.0,Turbo Fan,SCHD,0.0,0.0,0.0,80.0,IMC,,The flying pilot's incorrect use of the thrust lever leading to the dual engine shutdown during taxi.  Contributing to the incident was the flying pilot's lack of total experience in the make and model of airplane.,2008,Bombardier-Cl6002D24,80.0,0.0,0.0,100.0
58574,64551,Accident,2008-05-17,"Kolonia, Micronesia (Federated States of)",Micronesia,Non-Fatal,Substantial,Airplane,Boeing,B727200F,No,,,NSCH,0.0,0.0,0.0,5.0,VMC,,,2008,Boeing-B727200F,5.0,0.0,0.0,100.0
58608,64592,Accident,2008-05-25,"Romney, WV",United States,Non-Fatal,Substantial,Airplane,Boeing,A75N1,No,1.0,Reciprocating,,0.0,2.0,0.0,0.0,VMC,,A partial loss of engine power during takeoff due to failure of the left magneto. Contributing to the accident was unsuitable terrain to conduct a forced landing.,2008,Boeing-A75N1,2.0,0.0,100.0,0.0
58609,64593,Accident,2008-05-25,"Brussels, Belgium",Belgium,Non-Fatal,Destroyed,Airplane,Boeing,B747200,No,,,NSCH,0.0,0.0,0.0,5.0,UNK,,,2008,Boeing-B747200,5.0,0.0,0.0,100.0
58792,64798,Accident,2008-06-26,"Driggs, ID",United States,Non-Fatal,Substantial,Airplane,Boeing,D75N1,No,1.0,Reciprocating,,0.0,0.0,0.0,2.0,VMC,,The pilot's failure to maintain directional control during landing.  Contributing to the accident was wind gusts.,2008,Boeing-D75N1,2.0,0.0,0.0,100.0
58799,64808,Accident,2008-06-28,"San Francisco, CA",United States,Non-Fatal,Destroyed,Airplane,Boeing,767,No,2.0,Turbo Jet,NSCH,0.0,0.0,0.0,2.0,UNK,,"The design of the supplemental oxygen system hoses and the lack of positive separation between electrical wiring and electrically conductive oxygen system components. The lack of positive separation allowed a short circuit to breach a combustible oxygen hose, release oxygen, and initiate a fire in the supernumerary compartment that rapidly spread to other areas. Contributing to this accident was the Federal Aviation Administration’s failure to require the installation of nonconductive oxygen hoses after the safety issue concerning conductive hoses was initially identified by Boeing.",2008,Boeing-767,2.0,0.0,0.0,100.0
58806,64815,Accident,2008-06-28,"Charlotte, NC",United States,Non-Fatal,Substantial,Airplane,Bombardier,Cl6002C10,No,2.0,Turbo Fan,SCHD,0.0,0.0,0.0,112.0,VMC,,"The tugdriver and wing walker's lack of communication and the tugdriver's failure to properly monitor the wing walker. Contributing to the accident was the lightning in the vicinity of the airport, which resulted in the ground crewmembers not wearing headsets.",2008,Bombardier-Cl6002C10,112.0,0.0,0.0,100.0
58842,64854,Incident,2008-07-03,"Seattle, WA",United States,Non-Fatal,,Airplane,Boeing,737700,No,2.0,,SCHD,0.0,0.0,0.0,314.0,VMC,,The flight crew's diverted attention during taxi. Contributing to the incident was the air traffic control clearance was not followed.,2008,Boeing-737700,314.0,0.0,0.0,100.0
58860,64876,Incident,2008-07-06,"New York, NY",United States,Non-Fatal,,Airplane,Boeing,737300,No,,,SCHD,0.0,0.0,0.0,285.0,VMC,,"Air traffic control tower non-compliance with FAA separation requirements for operations on non-intersecting runways where flight paths intersect, and poor judgment by the Local 2 controller in clearing the Boeing 767 for takeoff without accounting for the possibility of a go-around by the Boeing 737.",2008,Boeing-737300,285.0,0.0,0.0,100.0
58870,64887,Accident,2008-07-07,"Madrid, Colombia",Colombia,Fatal,Destroyed,Airplane,Boeing,747200Fm,No,,,NSCH,0.0,3.0,5.0,0.0,VMC,,<br /><br />,2008,Boeing-747200Fm,8.0,0.0,37.5,62.5
58895,64919,Accident,2008-07-12,"Culpeper, VA",United States,Non-Fatal,Substantial,Airplane,Boeing,B75N1,No,1.0,Reciprocating,,0.0,1.0,0.0,1.0,VMC,,The pilot's failure to maintain directional control of the airplane while landing in a quartering tailwind.,2008,Boeing-B75N1,2.0,0.0,50.0,50.0
58903,64928,Incident,2008-07-14,"Port Harcourt, Nigeria",Nigeria,Non-Fatal,Minor,Airplane,Boeing,737282,No,,,SCHD,0.0,1.0,0.0,46.0,IMC,,,2008,Boeing-737282,47.0,0.0,2.127659574468085,97.87234042553192
58969,65004,Accident,2008-07-25,"Manila, Philippines",Philippines,Non-Fatal,Substantial,Airplane,Boeing,747400,No,,,SCHD,0.0,0.0,0.0,365.0,UNK,,,2008,Boeing-747400,365.0,0.0,0.0,100.0
58996,65032,Incident,2008-07-29,"Anchorage, AK",United States,Non-Fatal,,Airplane,Saab_Scania,Saab 340B,No,2.0,Turbo Prop,SCHD,0.0,0.0,0.0,9.0,VMC,,"The failure of one of the stage 1 gas generator rotor blades due to high-cycle fatigue, resulting in a contained engine failure during the takeoff roll.",2008,Saab_Scania-Saab 340B,9.0,0.0,0.0,100.0
59059,65107,Incident,2008-08-06,"Las Vegas, NV",United States,Non-Fatal,,Airplane,Boeing,757,No,2.0,Turbo Fan,SCHD,0.0,0.0,0.0,170.0,VMC,,The engine experienced an uncontained release of high pressure turbine material due to fatigue cracks that occurred on four consecutive blade retainig lugs on the 2nd stage turbine hub. The cracked lugs resulted in the release of four 2nd stage turbine blades that penetrated the engine's cases and nacelle. The lugs cracked due to loss of material and resultant increase in stress load on the blade slot serrations due to excessve grit blasting when the hub was being overhauled  by Delta Air Lines. Contributing to the uncontained incident was the FAA's and Pratt & Whitney's failure to act in a timely manner when another PW2037 2nd stage turbine hub was found to have multiple cracks in the blade retaining lugs.,2008,Boeing-757,170.0,0.0,0.0,100.0
59067,65116,Accident,2008-08-08,"Sterling, MA",United States,Non-Fatal,Substantial,Airplane,Boeing,E75,No,1.0,Reciprocating,,0.0,0.0,0.0,2.0,VMC,,The owner/pilot's improper flare. Contributing to the accident was the pilot-in-command's inadequate remedial action.,2008,Boeing-E75,2.0,0.0,0.0,100.0
59119,65174,Accident,2008-08-16,"San Francisco, CA",United States,Non-Fatal,,Airplane,Boeing,777300,No,2.0,Turbo Fan,SCHD,0.0,0.0,0.0,311.0,VMC,,The ground crewman's failure to follow the tow bar disconnect standard operating procedures.,2008,Boeing-777300,311.0,0.0,0.0,100.0
59126,65182,Incident,2008-08-16,"Paris, France",France,Non-Fatal,,Airplane,Boeing,B737800,No,,,NSCH,0.0,0.0,0.0,2.0,VMC,,.,2008,Boeing-B737800,2.0,0.0,0.0,100.0
59143,65201,Accident,2008-08-20,"Madrid, Spain",Spain,Fatal,Destroyed,Airplane,Boeing,Md82,No,,,SCHD,154.0,0.0,18.0,0.0,UNK,,,2008,Boeing-Md82,172.0,89.53488372093024,0.0,10.465116279069766
59158,65221,Accident,2008-08-22,"Burns, OR",United States,Non-Fatal,Substantial,Helicopter,Boeing,Bv234,No,2.0,Turbo Shaft,,0.0,0.0,0.0,7.0,VMC,,The pilot's failure to maintain clearance from obstacles while taxiing.,2008,Boeing-Bv234,7.0,0.0,0.0,100.0
59173,65237,Accident,2008-08-24,"Bishkek, Kyrgyzstan",Kyrgyzstan,Fatal,Destroyed,Airplane,Boeing,737,No,,,SCHD,65.0,25.0,0.0,0.0,UNK,,;kh,2008,Boeing-737,90.0,72.2222222222222,27.777777777777782,0.0
59177,65242,Incident,2008-08-26,"Bogota, Colombia",Colombia,Non-Fatal,,Airplane,Boeing,747209B,No,4.0,Turbo Fan,NSCH,0.0,0.0,0.0,5.0,VMC,,"The combination of fan blade edge contour, variable blade trim, and the high altitude, which resulted in an engine surge.",2008,Boeing-747209B,5.0,0.0,0.0,100.0
59180,65245,Incident,2008-08-26,"Montreal, Canada",Canada,Non-Fatal,,Airplane,Boeing,B747436,No,,,SCHD,0.0,0.0,0.0,2.0,VMC,,.,2008,Boeing-B747436,2.0,0.0,0.0,100.0
59186,65251,Incident,2008-08-28,"Atlantic Ocean,",United States,Non-Fatal,,Airplane,Boeing,B744,No,,,SCHD,0.0,0.0,0.0,159.0,UNK,,The San Juan CERAP controllers failure to ensure the two aircraft were properly separated using non-radar separation standards.,2008,Boeing-B744,159.0,0.0,0.0,100.0
59201,65269,Accident,2008-08-30,"Latacunga, Spain",Spain,Fatal,Destroyed,Airplane,Boeing,B737200,No,2.0,,,3.0,0.0,0.0,0.0,IMC,,.,2008,Boeing-B737200,3.0,100.0,0.0,0.0
59282,65360,Accident,2008-09-14,"Perm, Russia",Russia,Fatal,Destroyed,Airplane,Boeing,737500,No,,,SCHD,88.0,0.0,0.0,0.0,UNK,,,2008,Boeing-737500,88.0,100.0,0.0,0.0
59304,65386,Incident,2008-09-19,"Allentown, PA",United States,Non-Fatal,,Airplane,Bombardier,Cl6002C1,No,2.0,,SCHD,0.0,0.0,0.0,63.0,VMC,,The failure of both tower controllers to maintain awareness of the position of N736GV and ensure that the aircraft was clear of the runway before issuing a takeoff clearance to ASH7138.,2008,Bombardier-Cl6002C1,63.0,0.0,0.0,100.0
59325,65409,Incident,2008-09-22,"Chicago, IL",United States,Non-Fatal,Minor,Airplane,Boeing,757223,No,2.0,Turbo Fan,SCHD,0.0,0.0,0.0,192.0,UNK,,The failure of an electrical relay due to eroded contacts and the flight crew's decision to continue a flight that was operating on battery power.,2008,Boeing-757223,192.0,0.0,0.0,100.0
59363,65457,Incident,2008-10-01,"Chicago, IL",United States,Non-Fatal,Minor,Airplane,Boeing,737,No,2.0,Turbo Fan,SCHD,0.0,0.0,0.0,133.0,UNK,,The right nose landing gear axle's failure from intergranular and fatigue cracking due to an earlier bearing failure.,2008,Boeing-737,133.0,0.0,0.0,100.0
59366,65460,Accident,2008-10-02,"Bangkok, Thailand",Thailand,Non-Fatal,,Airplane,Boeing,747,No,4.0,,SCHD,0.0,13.0,1.0,151.0,UNK,,,2008,Boeing-747,165.0,0.0,7.878787878787877,92.12121212121212
59421,65522,Accident,2008-10-16,"Maiquetia, Venezuela",Venezuela,Non-Fatal,Substantial,Airplane,Boeing,737,No,2.0,,SCHD,0.0,0.0,0.0,55.0,IMC,,.,2008,Boeing-737,55.0,0.0,0.0,100.0
59427,65529,Incident,2008-10-18,"Belgrade, Serbia, Suriname",Suriname,Non-Fatal,Minor,Airplane,Boeing,737,No,2.0,,SCHD,0.0,0.0,0.0,189.0,UNK,,,2008,Boeing-737,189.0,0.0,0.0,100.0
59459,65567,Incident,2008-10-27,"Brussels, Belgium",Belgium,Non-Fatal,Substantial,,Boeing,747,No,4.0,,NSCH,0.0,0.0,0.0,6.0,UNK,,,2008,Boeing-747,6.0,0.0,0.0,100.0
59489,65606,Incident,2008-11-07,"Salt Lake City, UT",United States,Non-Fatal,Minor,Airplane,Boeing,737700,No,2.0,Turbo Fan,SCHD,0.0,0.0,0.0,51.0,VMC,,The tug driver's failure to maintain situational awareness during the push back operation.,2008,Boeing-737700,51.0,0.0,0.0,100.0
59510,65630,Accident,2008-11-13,"Detroit, MI",United States,Non-Fatal,Substantial,Airplane,Bombardier,Cl6002B19,No,2.0,,SCHD,0.0,0.0,0.0,20.0,IMC,,"The lack of vigilance on the part of the ramp agent driving the baggage tug. Contributing factors include the night conditions, and low visibility due to fog and rain.",2008,Bombardier-Cl6002B19,20.0,0.0,0.0,100.0
59556,65681,Incident,2008-11-26,"Bozeman, MT",United States,Non-Fatal,,Airplane,Boeing,777,No,2.0,Turbo Fan,SCHD,0.0,0.0,0.0,263.0,VMC,,"An accumulation of ice in the fuel system, which formed from the water normally present in jet fuel during commonly encountered flight conditions, which accreted and released, restricting the fuel flow at the right engine fuel-oil heat exchanger inlet face. 

Contributing to the incident were certification requirements (with which the aircraft and engine fuel systems were in compliance), which did not account for the possibility of ice accumulating and subsequently releasing in the aircraft and engine fuel feed system upstream of the fuel-oil heat exchanger.",2008,Boeing-777,263.0,0.0,0.0,100.0
59598,65728,Accident,2008-12-14,"Gary, IN",United States,Non-Fatal,Substantial,Airplane,Bombardier,Cl6002B16,No,2.0,Turbo Fan,,0.0,0.0,0.0,3.0,VMC,,The pilot's excessive airspeed and improper flare while landing in gusting winds.,2008,Bombardier-Cl6002B16,3.0,0.0,0.0,100.0
59600,65730,Incident,2008-12-14,"Philadelphia, PA",United States,Non-Fatal,Minor,Airplane,Bombardier,Cl6002B19,No,,Turbo Fan,NSCH,0.0,0.0,0.0,3.0,VMC,,"the failure of the maintenance personnel to properly complete the installation, and the inspection personnel to conduct the proper functional test, of the left main landing gear uplock assembly.",2008,Bombardier-Cl6002B19,3.0,0.0,0.0,100.0
59603,65733,Incident,2008-12-16,"Chicago, IL",United States,Non-Fatal,Minor,Airplane,Bombardier,Cl6002C10,No,2.0,Turbo Fan,SCHD,0.0,0.0,0.0,32.0,VMC,,The failure of the left landing gear to extend due to improper maintenance when the landing gear door was replaced. Contributing to the incident was the manufacturer's inadequate maintenance manual instructions.,2008,Bombardier-Cl6002C10,32.0,0.0,0.0,100.0
59620,65752,Incident,2008-12-20,"Sitka, AK",United States,Non-Fatal,,Airplane,Boeing,7374Q8,No,2.0,Turbo Fan,SCHD,0.0,88.0,0.0,0.0,VMC,,"The placement of operating equipment in close proximity to an external heating unit's intake by ground personnel, resulting in the contamination of the airplane's cabin with carbon monoxide.",2008,Boeing-7374Q8,88.0,0.0,100.0,0.0
59623,65755,Accident,2008-12-21,"Denver, CO",United States,Non-Fatal,Substantial,Airplane,Boeing,737524,No,2.0,,SCHD,0.0,41.0,6.0,68.0,VMC,,"The captain’s cessation of right rudder input, which was needed to maintain directional control of the airplane, about 4 seconds before the excursion, when the airplane encountered a strong and gusty crosswind that exceeded the captain’s training and experience. Contributing to the accident were the following factors: 1) an air traffic control system that did not require or facilitate the dissemination of key, available wind information to the air traffic controllers and pilots; and 2) inadequate crosswind training in the airline industry due to deficient simulator wind gust modeling.",2008,Boeing-737524,115.0,0.0,35.65217391304348,64.34782608695652
59633,65765,Accident,2008-12-23,"Rockford, IL",United States,Non-Fatal,Substantial,Airplane,Boeing,747212B,No,4.0,Turbo Fan,NSCH,0.0,0.0,0.0,3.0,VMC,,The ground crew's failure to maintain clearance from the light pole while directing the airplane to parking.,2008,Boeing-747212B,3.0,0.0,0.0,100.0
59635,65768,Incident,2008-12-24,"Seattle, WA",United States,Non-Fatal,,Airplane,Boeing,737890,No,2.0,Turbo Jet,SCHD,0.0,0.0,0.0,141.0,IMC,,The failure of the deicing crew to follow company procedures by not receiving confirmation from the flight crew before beginning to deice the airplane.,2008,Boeing-737890,141.0,0.0,0.0,100.0
59646,65782,Accident,2008-12-28,"Seattle, WA",United States,Non-Fatal,Substantial,Airplane,Boeing,757351,No,2.0,Turbo Fan,SCHD,0.0,0.0,0.0,352.0,VMC,,The failure of the tug operator and wing walker of this airplane to maintain clearance with the other aircraft during the pushback process in dark night. Also causal was the ramp controller's misinterpretation of the other airplane's gate location and her improper clearance for both airplanes to simultaneously push back from nearly opposing gates.,2008,Boeing-757351,352.0,0.0,0.0,100.0
59667,65808,Incident,2009-01-02,"Atlanta, GA",United States,Non-Fatal,Minor,Airplane,Boeing,777,No,2.0,Turbo Fan,SCHD,0.0,0.0,0.0,257.0,UNK,,The fan blade fractured due to a fatigue crack that was the result of the combination of the breakdown of the fan blade lubrication system and residual fatigue life usage following the last overhaul of the fan blade.  Contributing to the fracture was the inadequate lubrication schedule established by the engine manufacturer that was not reflective of the operator’s use of the engine.,2009,Boeing-777,257.0,0.0,0.0,100.0
59684,65826,Incident,2009-01-06,"Ho Chi Minh City, Vietnam",Vietnam,Non-Fatal,Minor,Airplane,Boeing,777,No,,,SCHD,0.0,0.0,0.0,332.0,UNK,,,2009,Boeing-777,332.0,0.0,0.0,100.0
59696,65841,Incident,2009-01-12,"East Anglia, United Kingdom",United Kingdom,Non-Fatal,,Airplane,Boeing,737,No,2.0,,SCHD,0.0,0.0,0.0,4.0,UNK,,,2009,Boeing-737,4.0,0.0,0.0,100.0
59785,65940,Accident,2009-02-13,"Clarence Center, NY",United States,Fatal,Destroyed,Airplane,Bombardier,Dhc8402,No,2.0,Turbo Prop,SCHD,49.0,0.0,0.0,0.0,VMC,,"The captain’s inappropriate response to the activation of the stick shaker, which led to an aerodynamic stall from which the airplane did not recover. Contributing to the accident were (1) the flight crew's failure to monitor airspeed in relation to the rising position of the low-speed cue, (2) the flight crew failure to adhere to sterile cockpit procedures, (3) the captain’s failure to effectively manage the flight, and (4) Colgan Air’s inadequate procedures for airspeed selection and management during approaches in icing conditions.",2009,Bombardier-Dhc8402,49.0,100.0,0.0,0.0
59807,65964,Accident,2009-02-20,"Tokyo, Japan",Japan,Non-Fatal,,Airplane,Boeing,747,No,,,SCHD,0.0,34.0,4.0,384.0,UNK,,,2009,Boeing-747,422.0,0.0,8.056872037914692,91.9431279620853
59833,65991,Accident,2009-02-25,"Amsterdam, Netherlands (the)",Netherlands,Fatal,Destroyed,Airplane,Boeing,B737800,No,2.0,,SCHD,9.0,53.0,27.0,45.0,UNK,,,2009,Boeing-B737800,134.0,6.7164179104477615,39.55223880597015,53.7313432835821
59838,65998,Incident,2009-02-27,",",United States,Non-Fatal,,Airplane,Boeing,737,No,2.0,,SCHD,0.0,0.0,0.0,131.0,UNK,,.,2009,Boeing-737,131.0,0.0,0.0,100.0
59846,66006,Accident,2009-02-28,"Tallahassee, FL",United States,Non-Fatal,Substantial,Airplane,Bombardier,Crj,No,2.0,,SCHD,0.0,0.0,0.0,2.0,UNK,,"An electrical anomaly in the top portion of the JB-1 junction box resulting in ignition of adjacent combustible materials, including insulation blankets, and a flexible oxygen line.",2009,Bombardier-Crj,2.0,0.0,0.0,100.0
59856,66021,Accident,2009-03-04,"Niigata, Japan",Japan,Non-Fatal,,Airplane,Boeing,777,No,2.0,,SCHD,0.0,0.0,2.0,275.0,UNK,,,2009,Boeing-777,277.0,0.0,0.0,100.0
60031,66228,Accident,2009-04-18,"McAllen, TX",United States,Non-Fatal,,Airplane,Boeing,737724,No,2.0,Turbo Jet,SCHD,0.0,3.0,1.0,105.0,VMC,,The injured passenger's failure to comply with the requirement to remain seated with a fastened seatbelt.,2009,Boeing-737724,109.0,0.0,2.752293577981652,97.24770642201835
60038,66240,Accident,2009-04-20,"New York, NY",United States,Non-Fatal,Substantial,Airplane,Boeing,767,No,2.0,Turbo Fan,SCHD,0.0,0.0,0.0,220.0,VMC,,"The first officer’s input of full nose down elevator at touchdown.
Contributing to the accident was the gusty wind conditions.",2009,Boeing-767,220.0,0.0,0.0,100.0
60071,66281,Accident,2009-04-27,"Guadalajara, Mexico",Mexico,Non-Fatal,Substantial,,Boeing,737,No,2.0,,SCHD,0.0,4.0,0.0,112.0,UNK,,,2009,Boeing-737,116.0,0.0,3.4482758620689653,96.55172413793105
60079,66290,Accident,2009-04-29,"Kwilu, Bandundu, Central Africa",Central Africa,Fatal,Destroyed,,Boeing,737,No,2.0,,,7.0,0.0,0.0,0.0,UNK,,,2009,Boeing-737,7.0,100.0,0.0,0.0
60101,66316,Accident,2009-05-06,"Baltimore, MD",United States,Non-Fatal,Substantial,Airplane,Boeing,Dc10,No,3.0,Turbo Fan,NSCH,0.0,11.0,1.0,168.0,VMC,,"the captain’s inappropriate control inputs following a firm landing, resulting in two hard nose-gear impacts before executing a go-around.  

Contributing to the inappropriate control inputs was the captain’s fatigue and physical discomfort; and a possible lack of practical consolidation of skills and experience due to a protracted and fragmented training period.",2009,Boeing-Dc10,180.0,0.0,6.111111111111112,93.88888888888887
60132,66356,Incident,2009-05-13,"Houston, TX",United States,Non-Fatal,Minor,Airplane,Boeing,737,No,2.0,Turbo Fan,SCHD,0.0,2.0,0.0,51.0,VMC,,"The pilot's inadvertent application of excessive braking after touchdown, which caused the right wheels to lock and several tires to blow and resulted in a subsequent brake fire.",2009,Boeing-737,53.0,0.0,3.7735849056603774,96.22641509433964
60155,66381,Accident,2009-05-16,"Cuba, Cuba",Cuba,Non-Fatal,,Airplane,Boeing,757,No,2.0,Turbo Fan,SCHD,0.0,4.0,1.0,184.0,IMC,,An unanticipated inflight encounter with turbulence.,2009,Boeing-757,189.0,0.0,2.1164021164021163,97.88359788359787
60160,66388,Accident,2009-05-17,"Cottonwood, AZ",United States,Non-Fatal,Substantial,Airplane,Boeing,E75,No,1.0,Reciprocating,,0.0,0.0,0.0,2.0,VMC,,The pilot's inadequate compensation for the crosswinds during the landing roll.,2009,Boeing-E75,2.0,0.0,0.0,100.0
60166,66394,Accident,2009-05-19,"Joshua Tree, CA",United States,Non-Fatal,Substantial,Airplane,Boeing,A75N1,No,1.0,Reciprocating,,0.0,0.0,0.0,1.0,VMC,,An in-flight fire in the engine compartment for undetermined reasons.,2009,Boeing-A75N1,1.0,0.0,0.0,100.0
60170,66398,Accident,2009-05-20,"San Juan, PR",United States,Non-Fatal,,Airplane,Boeing,767 332,No,2.0,Turbo Fan,SCHD,0.0,4.0,1.0,263.0,VMC,,Inadvertent encounter with convective turbulence while in cruise.,2009,Boeing-767 332,268.0,0.0,1.4925373134328357,98.50746268656715
60243,66489,Incident,2009-06-05,"Taipei, Taiwan, Taiwan (Province of China)",Taiwan,Non-Fatal,Minor,Airplane,Boeing,767,No,2.0,,SCHD,0.0,0.0,0.0,210.0,UNK,,<br /><br />,2009,Boeing-767,210.0,0.0,0.0,100.0
60266,66517,Incident,2009-06-10,"Denver, CO",United States,Non-Fatal,Minor,Airplane,Boeing,757222,No,2.0,Turbo Jet,SCHD,0.0,0.0,0.0,192.0,UNK,,"There was a malfunction of the electronic engine control (EEC) burner pressure (Pb) sensor that had an abnormally high indication that resulted in an excessive amount of fuel being pumped into the engine that was still at a sub-idle condition.  Because the engine was still accelerating to idle, the limited airflow through the engine engine was insufficient for the amount of fuel and resulted in a tailpipe fire.  The cause of the EEC's Pb sensor fault could not be determined.",2009,Boeing-757222,192.0,0.0,0.0,100.0
60268,66521,Incident,2009-06-11,"Atlanta, GA",United States,Non-Fatal,Minor,Airplane,Bombardier,Cl6002B1,No,2.0,Turbo Fan,SCHD,0.0,0.0,0.0,22.0,VMC,,The failure of the left main landing gear to extend due to high levels of particulate contamination in the hydraulic fluid.,2009,Bombardier-Cl6002B1,22.0,0.0,0.0,100.0
60297,66556,Incident,2009-06-14,"Diyarbakir, OF",Turkey,Non-Fatal,,Airplane,Boeing,737,No,2.0,Turbo Fan,SCHD,0.0,2.0,0.0,0.0,VMC,,"An uncommanded elevator surface deflection as a result of a left elevator PCU input arm assembly jam due to FOD lodged between the input arm assembly and the PCU housing. The FOD was a roller element from an elevator upper torque tube output crank bearing, but how or when the roller element liberated from its bearing assembly could not be determined.

Contributing to the survivability of this incident was the flight crew’s immediate actions in response to the elevator control system jam.",2009,Boeing-737,2.0,0.0,100.0,0.0
60320,66584,Incident,2009-06-19,"North Bay, Canada",Canada,Non-Fatal,,Airplane,Boeing,767,No,2.0,,SCHD,0.0,0.0,0.0,216.0,UNK,,,2009,Boeing-767,216.0,0.0,0.0,100.0
